[0.000000] (-) TimerEvent: {}
[0.000499] (-) JobUnselected: {'identifier': 'd435i_xarm_setup'}
[0.000567] (-) JobUnselected: {'identifier': 'gazebo_dev'}
[0.000635] (-) JobUnselected: {'identifier': 'gazebo_msgs'}
[0.000707] (-) JobUnselected: {'identifier': 'gazebo_plugins'}
[0.000789] (-) JobUnselected: {'identifier': 'gazebo_ros'}
[0.000871] (-) JobUnselected: {'identifier': 'gazebo_ros_pkgs'}
[0.000924] (-) JobUnselected: {'identifier': 'gen3_lite_gen3_lite_2f_move_it_config'}
[0.000980] (-) JobUnselected: {'identifier': 'gen3_move_it_config'}
[0.001051] (-) JobUnselected: {'identifier': 'gen3_robotiq_2f_140_move_it_config'}
[0.001187] (-) JobUnselected: {'identifier': 'gen3_robotiq_2f_85_move_it_config'}
[0.001258] (-) JobUnselected: {'identifier': 'kortex_control'}
[0.001311] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.001376] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.001477] (-) JobUnselected: {'identifier': 'kortex_examples'}
[0.001547] (-) JobUnselected: {'identifier': 'kortex_gazebo'}
[0.001605] (-) JobUnselected: {'identifier': 'kortex_move_it_config'}
[0.001731] (-) JobUnselected: {'identifier': 'mbot_demo'}
[0.001791] (-) JobUnselected: {'identifier': 'netft_rdt_driver'}
[0.001834] (-) JobUnselected: {'identifier': 'realsense_gazebo_plugin'}
[0.001876] (-) JobUnselected: {'identifier': 'robotiq_2f_140_gripper_visualization'}
[0.001918] (-) JobUnselected: {'identifier': 'robotiq_2f_85_gripper_visualization'}
[0.001960] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_control'}
[0.002002] (-) JobUnselected: {'identifier': 'robotiq_2f_gripper_msgs'}
[0.002043] (-) JobUnselected: {'identifier': 'robotiq_ethercat'}
[0.002085] (-) JobUnselected: {'identifier': 'robotiq_modbus_rtu'}
[0.002126] (-) JobUnselected: {'identifier': 'robotiq_vacuum_gripper_description'}
[0.002168] (-) JobUnselected: {'identifier': 'robotiq_vacuum_grippers_control'}
[0.002210] (-) JobUnselected: {'identifier': 'third_party'}
[0.002251] (-) JobUnselected: {'identifier': 'uf_ros_lib'}
[0.002293] (-) JobUnselected: {'identifier': 'ufactory_ellmer_msgs'}
[0.002334] (-) JobUnselected: {'identifier': 'xarm_api'}
[0.002375] (-) JobUnselected: {'identifier': 'xarm_controller'}
[0.002417] (-) JobUnselected: {'identifier': 'xarm_description'}
[0.002458] (-) JobUnselected: {'identifier': 'xarm_gazebo'}
[0.002503] (-) JobUnselected: {'identifier': 'xarm_moveit_servo'}
[0.002636] (-) JobUnselected: {'identifier': 'xarm_msgs'}
[0.002743] (-) JobUnselected: {'identifier': 'xarm_planner'}
[0.003002] (-) JobUnselected: {'identifier': 'xarm_sdk'}
[0.003096] (xarm_moveit_config) JobQueued: {'identifier': 'xarm_moveit_config', 'dependencies': OrderedDict([('gazebo_dev', '/home/eugene/ufactory_ellmer_ws/install/gazebo_dev'), ('gazebo_msgs', '/home/eugene/ufactory_ellmer_ws/install/gazebo_msgs'), ('uf_ros_lib', '/home/eugene/ufactory_ellmer_ws/install/uf_ros_lib'), ('xarm_description', '/home/eugene/ufactory_ellmer_ws/install/xarm_description'), ('xarm_msgs', '/home/eugene/ufactory_ellmer_ws/install/xarm_msgs'), ('xarm_sdk', '/home/eugene/ufactory_ellmer_ws/install/xarm_sdk'), ('gazebo_ros', '/home/eugene/ufactory_ellmer_ws/install/gazebo_ros'), ('xarm_api', '/home/eugene/ufactory_ellmer_ws/install/xarm_api'), ('gazebo_plugins', '/home/eugene/ufactory_ellmer_ws/install/gazebo_plugins'), ('xarm_controller', '/home/eugene/ufactory_ellmer_ws/install/xarm_controller'), ('xarm_gazebo', '/home/eugene/ufactory_ellmer_ws/install/xarm_gazebo')])}
[0.003242] (xarm_moveit_config) JobStarted: {'identifier': 'xarm_moveit_config'}
[0.030078] (xarm_moveit_config) JobEnded: {'identifier': 'xarm_moveit_config', 'rc': 1}
[0.030759] (-) EventReactorShutdown: {}
